years_experience,skills_match_score,education_level,project_count,resume_length,github_activity,shortlisted
9,78.5,Bachelors,11,243,371,Yes
11,90.3,Masters,10,411,350,Yes
4,58.0,Bachelors,10,324,279,No
2,50.8,Bachelors,7,524,127,No
14,46.2,High School,10,736,425,Yes
4,82.6,PhD,6,580,90,Yes
9,69.0,Masters,12,692,275,Yes
0,91.0,Masters,3,555,0,No
13,90.1,High School,16,682,572,Yes
10,87.3,High School,13,900,367,Yes
3,74.1,Bachelors,6,537,113,Yes
5,75.5,Bachelors,11,306,247,Yes
1,70.4,Masters,6,360,126,No
12,93.8,Masters,14,472,383,Yes
6,75.9,Masters,7,582,87,No
7,62.3,Bachelors,9,670,346,Yes
0,43.6,Masters,6,401,138,No
12,91.6,Masters,16,845,544,Yes
3,82.9,Bachelors,11,369,281,No
10,79.4,Masters,13,542,395,Yes
3,65.8,Bachelors,8,353,102,No
12,65.5,Masters,16,646,417,Yes
4,66.2,PhD,10,440,262,No
13,65.1,Bachelors,13,771,396,Yes
11,62.1,Bachelors,17,794,465,Yes
11,76.5,High School,16,648,453,Yes
3,66.4,Masters,9,402,179,No
8,89.1,Masters,10,589,266,Yes
6,76.5,High School,7,701,157,No
12,72.1,Masters,9,634,344,Yes
1,34.2,Masters,4,341,121,No
0,50.8,PhD,8,411,108,No
8,62.8,Bachelors,15,582,437,Yes
0,65.8,Bachelors,4,334,147,No
5,80.4,Masters,10,567,247,Yes
15,86.8,Bachelors,16,900,429,Yes
14,100.0,Masters,11,563,527,Yes
14,100.0,Masters,14,448,407,Yes
1,57.7,Bachelors,6,283,163,No
15,79.5,High School,13,817,500,Yes
3,46.4,High School,7,601,183,No
5,72.3,Bachelors,6,606,177,No
4,82.6,Bachelors,17,399,435,Yes
15,83.8,Masters,14,675,485,Yes
10,71.6,Bachelors,16,609,463,Yes
5,59.7,Bachelors,10,502,155,Yes
2,44.2,Bachelors,5,226,155,No
4,67.5,Bachelors,6,472,200,No
1,57.5,High School,4,374,41,No
6,68.9,Bachelors,13,267,317,Yes
2,89.1,Bachelors,7,435,146,Yes
0,59.0,High School,5,306,10,No
13,66.8,Bachelors,15,761,482,Yes
7,84.7,Masters,14,487,361,Yes
7,66.4,Bachelors,9,403,260,Yes
2,56.6,Bachelors,6,428,106,No
12,86.4,PhD,16,764,441,Yes
6,69.0,Masters,5,336,237,No
8,73.0,High School,7,514,340,Yes
7,98.7,High School,14,876,403,No
2,59.7,Masters,5,398,200,No
14,86.8,Bachelors,12,849,423,Yes
12,80.5,High School,8,734,261,Yes
1,51.8,Bachelors,9,420,209,No
12,83.0,PhD,18,639,511,Yes
9,94.2,Masters,6,618,168,Yes
15,79.8,Bachelors,16,878,562,Yes
6,56.2,Bachelors,8,555,210,Yes
6,96.2,Bachelors,14,749,358,Yes
8,55.4,Bachelors,16,487,418,Yes
4,86.3,PhD,8,526,214,Yes
3,56.0,High School,5,414,103,No
7,60.8,PhD,8,515,228,Yes
13,77.8,Bachelors,15,530,569,Yes
3,60.1,Bachelors,5,516,36,No
15,58.5,High School,11,788,406,Yes
3,73.7,Masters,7,363,167,Yes
11,84.4,Bachelors,7,768,234,Yes
13,82.0,Masters,18,893,531,Yes
11,86.6,Bachelors,16,748,492,Yes
1,62.6,Bachelors,3,318,102,No
12,100.0,Masters,9,758,365,Yes
14,64.8,High School,18,700,477,Yes
0,53.1,Bachelors,8,608,130,No
3,78.5,Bachelors,4,367,75,No
6,77.6,Bachelors,10,624,339,Yes
11,48.7,Masters,8,785,340,Yes
15,62.5,Bachelors,13,700,571,Yes
8,81.0,PhD,17,550,598,Yes
15,100.0,Masters,9,759,371,Yes
8,67.0,Bachelors,12,526,299,Yes
11,84.7,High School,8,771,251,Yes
9,80.5,Masters,5,485,216,Yes
14,97.9,Masters,25,822,748,Yes
0,73.6,Bachelors,6,311,164,No
4,87.2,PhD,9,486,249,Yes
6,90.6,PhD,12,308,335,Yes
12,72.3,Bachelors,19,702,610,Yes
6,71.0,Masters,13,557,334,Yes
9,83.3,Bachelors,12,431,313,Yes
15,98.5,Masters,21,877,617,Yes
5,76.4,Bachelors,6,254,257,Yes
15,61.0,Bachelors,14,852,501,Yes
10,99.2,Masters,15,691,481,Yes
9,45.5,High School,13,497,380,Yes
3,56.0,Masters,8,303,195,Yes
2,68.2,Masters,7,484,169,Yes
11,79.1,Bachelors,12,743,489,Yes
12,100.0,Bachelors,9,843,354,Yes
8,59.7,Masters,11,603,282,Yes
14,80.0,Bachelors,19,870,529,Yes
11,53.7,Masters,14,718,449,Yes
12,83.5,Bachelors,18,722,662,Yes
9,76.1,Masters,19,454,494,Yes
3,44.9,Bachelors,6,376,231,No
7,86.6,High School,12,601,326,Yes
12,97.7,Bachelors,14,837,506,Yes
0,54.1,High School,3,491,133,No
6,86.6,Bachelors,8,604,174,Yes
11,81.9,Masters,14,583,378,Yes
5,73.7,High School,2,369,30,No
12,89.9,High School,15,852,380,Yes
11,63.5,Bachelors,13,557,483,Yes
0,67.7,Masters,6,150,59,No
14,91.8,Masters,8,654,322,Yes
3,48.1,Bachelors,10,555,379,No
11,64.1,Masters,9,734,315,Yes
14,100.0,PhD,21,900,669,Yes
13,79.3,Bachelors,9,682,272,Yes
4,47.3,Masters,7,656,293,No
10,86.2,Bachelors,16,684,506,Yes
7,93.0,PhD,11,504,243,Yes
14,67.9,Bachelors,9,628,404,Yes
3,71.0,PhD,6,375,161,No
2,84.3,Bachelors,7,239,186,No
1,45.8,Bachelors,5,407,56,No
3,92.9,Masters,8,540,212,Yes
10,76.4,Masters,17,648,390,Yes
9,78.2,Masters,13,552,395,Yes
13,66.3,Masters,14,584,463,Yes
12,64.9,Masters,17,674,475,Yes
3,57.4,Masters,13,519,298,Yes
12,94.8,Bachelors,11,724,385,Yes
9,100.0,Bachelors,12,634,385,Yes
4,100.0,Bachelors,2,321,73,Yes
12,83.4,Masters,11,697,334,Yes
6,64.2,Bachelors,10,614,286,Yes
8,58.7,Bachelors,14,603,367,Yes
1,76.2,Bachelors,9,498,169,No
4,62.1,PhD,10,361,252,Yes
15,79.4,High School,8,644,394,Yes
10,85.0,Bachelors,11,660,321,Yes
9,82.3,Bachelors,14,402,334,Yes
8,64.3,Bachelors,12,741,353,Yes
11,78.1,Bachelors,6,727,316,Yes
13,74.7,Bachelors,14,754,469,Yes
12,69.0,Bachelors,14,849,495,Yes
2,49.9,Masters,5,296,45,No
0,39.2,Masters,4,316,130,No
1,64.9,Bachelors,7,394,164,No
13,83.6,Masters,13,662,487,Yes
5,54.2,Masters,7,371,296,Yes
15,72.8,Masters,13,809,521,Yes
4,46.8,Bachelors,14,407,302,No
0,48.3,Bachelors,4,302,43,No
0,78.1,Masters,7,673,98,No
10,67.3,Bachelors,12,592,442,Yes
3,71.9,Bachelors,4,668,0,No
11,100.0,Bachelors,11,900,299,Yes
14,91.8,Masters,17,858,591,Yes
3,52.0,Bachelors,8,319,211,No
14,84.2,Bachelors,18,620,600,Yes
5,70.6,Masters,11,399,211,Yes
5,97.2,Masters,10,604,227,Yes
15,61.5,Bachelors,13,690,305,Yes
9,92.2,Bachelors,11,695,397,Yes
13,61.1,Masters,13,770,527,Yes
5,75.2,High School,4,445,185,No
0,55.1,Masters,3,351,112,No
9,100.0,Masters,11,591,332,Yes
8,83.6,Bachelors,11,574,405,Yes
10,86.1,Bachelors,10,745,340,Yes
6,50.9,High School,7,452,115,No
6,100.0,Masters,11,562,260,Yes
10,100.0,Bachelors,10,776,317,Yes
6,99.7,Bachelors,12,392,354,Yes
1,44.5,Bachelors,4,549,79,No
1,56.7,Bachelors,4,423,170,No
5,49.7,Bachelors,12,413,266,No
6,60.4,Bachelors,9,257,177,No
2,69.5,Masters,8,379,149,No
12,92.4,Bachelors,9,621,385,Yes
3,71.5,Bachelors,5,406,96,No
13,61.4,Masters,17,790,564,Yes
11,82.7,Masters,11,659,303,Yes
2,73.0,Masters,12,530,159,No
6,83.7,Bachelors,7,530,245,No
6,75.9,Bachelors,9,463,109,Yes
3,74.6,Masters,6,752,196,No
12,81.7,Masters,15,527,441,Yes
6,77.3,Masters,18,411,393,Yes
4,100.0,Masters,6,322,136,No
0,71.1,High School,1,410,61,No
9,84.7,Masters,10,598,288,Yes
3,78.2,Masters,4,448,110,Yes
6,66.1,High School,9,289,426,No
12,82.6,Bachelors,15,566,536,Yes
15,100.0,Bachelors,9,810,342,Yes
15,78.5,Bachelors,13,801,526,Yes
14,83.6,Bachelors,11,846,342,Yes
1,42.7,Masters,5,593,67,No
1,74.9,Masters,6,452,181,No
0,81.0,PhD,10,370,119,Yes
1,68.5,Bachelors,5,305,87,Yes
9,72.0,Bachelors,16,435,362,Yes
13,86.6,Masters,17,553,555,Yes
7,73.7,Bachelors,9,379,192,Yes
10,89.4,High School,11,714,263,Yes
7,90.8,Masters,10,397,174,Yes
7,50.0,Bachelors,9,300,305,Yes
14,67.8,High School,17,796,545,Yes
15,89.5,High School,17,764,659,Yes
0,44.9,PhD,7,417,149,No
0,71.3,Bachelors,10,150,189,No
11,75.4,Bachelors,11,765,408,Yes
9,93.6,PhD,12,588,409,Yes
3,64.0,Bachelors,3,421,63,No
5,61.5,High School,5,332,107,No
7,58.9,Masters,9,370,349,Yes
12,68.8,High School,13,699,481,Yes
1,53.3,High School,2,301,141,No
12,83.0,Masters,8,896,408,Yes
15,98.4,Bachelors,25,776,747,Yes
2,55.6,Masters,12,392,305,No
5,67.1,Bachelors,9,218,195,No
9,98.1,Bachelors,14,504,327,Yes
3,75.8,Bachelors,12,510,251,No
11,76.6,High School,7,802,399,Yes
1,37.6,Bachelors,6,459,185,No
6,48.9,Bachelors,12,562,265,No
3,73.1,Bachelors,3,404,143,No
7,86.3,Masters,13,296,218,Yes
7,37.8,High School,6,664,139,No
6,80.0,Bachelors,8,452,236,Yes
9,70.8,Masters,13,812,304,Yes
8,67.4,Bachelors,15,507,476,Yes
3,80.6,Masters,7,265,155,Yes
6,84.2,Masters,5,487,246,No
9,81.5,PhD,16,625,402,Yes
9,85.8,Bachelors,12,687,394,Yes
14,87.5,PhD,23,607,667,Yes
11,71.4,Masters,12,732,401,Yes
0,80.1,Masters,4,206,139,No
3,90.9,PhD,8,587,270,Yes
1,53.6,Masters,6,383,130,No
8,69.2,Masters,8,481,281,Yes
15,100.0,Bachelors,16,802,603,Yes
4,58.8,Masters,8,524,256,No
2,73.5,Bachelors,4,198,4,No
3,48.1,Bachelors,3,423,150,No
5,67.0,Masters,7,542,224,Yes
9,97.7,PhD,12,829,298,Yes
0,46.7,Masters,5,400,127,No
6,64.4,Masters,10,700,339,No
7,80.9,Masters,14,729,390,Yes
6,42.5,Bachelors,10,335,249,No
6,70.6,Bachelors,9,585,265,Yes
8,90.9,Bachelors,8,695,251,Yes
12,90.0,High School,10,657,372,Yes
3,66.5,Masters,8,262,234,No
13,87.6,Masters,19,715,519,Yes
15,100.0,Bachelors,10,799,519,Yes
6,85.6,High School,5,441,242,Yes
8,72.1,Bachelors,7,495,220,Yes
14,76.1,Bachelors,16,696,472,Yes
4,78.4,Bachelors,9,591,170,Yes
1,76.5,Bachelors,5,384,59,No
14,100.0,Bachelors,23,900,733,Yes
4,81.8,PhD,6,358,116,Yes
3,58.2,Bachelors,10,505,118,No
7,50.2,Masters,7,393,152,No
15,100.0,Masters,16,900,521,Yes
14,100.0,Bachelors,13,705,459,Yes
4,57.7,Masters,8,391,340,No
8,80.1,Masters,13,666,393,Yes
8,65.7,High School,15,622,383,Yes
2,58.0,High School,3,394,53,No
12,79.2,Masters,11,773,408,Yes
9,85.9,Bachelors,12,611,481,Yes
14,68.5,Bachelors,15,730,430,Yes
5,61.6,Bachelors,6,534,249,No
5,80.6,Bachelors,6,520,223,Yes
3,37.6,Masters,8,354,308,No
10,85.9,Masters,13,684,525,Yes
12,77.0,Masters,20,607,551,Yes
9,99.7,Bachelors,9,529,307,Yes
2,73.9,PhD,8,452,233,No
0,49.4,Masters,7,421,147,No
11,100.0,Masters,11,699,372,Yes
6,65.3,High School,3,632,221,No
14,87.5,Bachelors,13,855,448,Yes
14,100.0,Masters,20,835,597,Yes
4,56.4,Bachelors,9,497,212,No
13,100.0,Masters,9,516,357,Yes
9,87.9,Masters,9,491,287,Yes
14,75.9,Bachelors,16,900,497,Yes
6,66.8,Masters,16,558,342,Yes
0,38.7,Bachelors,3,374,102,No
7,79.9,Masters,6,184,184,Yes
2,66.3,PhD,5,543,95,No
6,81.7,PhD,10,489,225,Yes
11,57.7,Masters,13,664,385,Yes
2,53.6,Bachelors,4,354,111,No
13,72.5,Masters,10,737,355,Yes
2,72.6,Masters,10,425,222,No
9,62.0,High School,10,563,286,Yes
8,80.6,Bachelors,10,692,289,Yes
12,77.3,Masters,14,635,402,Yes
1,79.4,High School,8,512,269,No
13,91.8,PhD,14,716,422,Yes
3,77.2,Bachelors,5,407,108,Yes
5,65.8,Bachelors,9,324,391,Yes
13,97.3,Bachelors,14,747,490,Yes
2,53.7,Masters,6,336,248,No
11,86.4,PhD,15,736,489,Yes
9,68.5,Bachelors,9,505,255,Yes
13,100.0,Masters,13,900,496,Yes
9,61.4,Masters,12,637,323,Yes
6,100.0,Masters,8,435,251,Yes
6,52.6,Masters,13,618,325,Yes
14,96.5,Bachelors,12,608,383,Yes
4,56.2,Bachelors,11,649,234,No
2,65.3,Bachelors,5,475,130,No
1,52.4,High School,6,455,241,No
14,73.0,Bachelors,15,718,538,Yes
14,86.7,Bachelors,15,634,535,Yes
3,61.0,Masters,7,285,195,Yes
13,92.1,Bachelors,18,734,477,Yes
14,74.2,Masters,15,851,541,Yes
12,92.3,Masters,17,743,485,Yes
3,84.0,PhD,9,446,327,Yes
10,79.6,Masters,12,884,318,Yes
7,59.2,PhD,9,468,231,Yes
7,93.0,High School,6,613,204,No
12,92.3,Masters,11,660,299,Yes
4,50.2,High School,7,588,191,No
12,92.7,Masters,14,518,465,Yes
5,42.4,Bachelors,12,613,327,No
7,92.9,Masters,18,532,492,Yes
14,100.0,Bachelors,19,830,530,Yes
0,69.9,Bachelors,4,203,72,No
4,54.2,Masters,10,462,298,No
3,41.2,PhD,10,461,157,No
15,100.0,Bachelors,14,729,568,Yes
3,68.8,PhD,6,450,231,No
10,71.6,Bachelors,6,773,317,Yes
1,80.7,Masters,7,272,319,No
9,74.1,PhD,17,574,546,Yes
0,68.9,Bachelors,5,345,90,No
13,83.9,Bachelors,11,687,415,Yes
14,89.2,Bachelors,14,689,505,Yes
5,91.9,Bachelors,4,472,199,No
6,65.9,Masters,7,471,255,Yes
4,60.5,Masters,12,277,201,Yes
15,92.0,PhD,18,566,568,Yes
14,67.5,Bachelors,13,535,525,Yes
7,85.5,Bachelors,11,548,243,Yes
8,85.6,Bachelors,19,502,394,Yes
10,84.9,PhD,9,708,317,Yes
10,59.1,High School,7,404,233,Yes
1,25.8,PhD,4,423,128,No
10,65.0,Bachelors,12,492,474,Yes
12,81.8,Masters,17,636,622,Yes
3,35.0,Bachelors,8,214,207,No
10,100.0,Masters,9,655,364,Yes
8,83.5,Masters,12,636,426,Yes
4,77.4,Masters,9,523,310,Yes
2,63.0,Masters,10,365,159,Yes
5,78.6,Bachelors,13,637,302,Yes
14,76.5,High School,14,746,620,Yes
2,62.8,Masters,10,535,267,Yes
13,100.0,Bachelors,8,817,335,Yes
4,85.7,Masters,8,391,345,No
2,65.1,Masters,5,378,170,No
5,97.8,Bachelors,6,312,187,Yes
11,82.0,Masters,17,645,406,Yes
15,83.7,Masters,15,599,512,Yes
9,81.2,Masters,8,671,342,Yes
4,73.8,Masters,7,487,85,Yes
13,65.6,Bachelors,18,761,593,Yes
8,88.3,PhD,14,501,382,Yes
15,100.0,Bachelors,16,735,532,Yes
2,79.5,Masters,5,330,112,No
5,77.5,Bachelors,7,653,218,Yes
7,74.2,High School,5,509,282,Yes
6,58.3,Masters,12,582,321,No
15,72.6,Bachelors,17,793,484,Yes
5,77.4,PhD,12,240,298,Yes
13,77.1,Bachelors,18,875,518,Yes
14,59.3,High School,10,616,421,Yes
1,49.7,High School,7,315,127,No
15,94.3,Bachelors,16,757,547,Yes
14,98.0,Masters,18,899,536,Yes
6,57.0,Bachelors,10,572,274,Yes
7,70.8,Bachelors,12,506,349,No
0,59.2,High School,6,364,23,No
14,66.5,Bachelors,7,757,306,Yes
8,61.9,Bachelors,14,562,327,Yes
3,67.1,Masters,5,624,55,No
7,61.6,Masters,11,423,466,Yes
14,84.3,Masters,14,524,609,Yes
9,100.0,PhD,13,536,344,Yes
6,50.6,Masters,7,578,352,Yes
13,100.0,Bachelors,17,683,620,Yes
12,86.6,Bachelors,13,683,416,Yes
9,64.6,PhD,16,713,454,Yes
6,83.4,Masters,6,626,244,Yes
1,60.1,Bachelors,3,452,42,No
15,100.0,Masters,14,704,586,Yes
0,74.9,PhD,10,323,193,Yes
3,70.2,Masters,12,370,367,Yes
11,74.9,Bachelors,9,796,339,Yes
15,100.0,PhD,13,881,469,Yes
15,89.1,PhD,14,686,467,Yes
1,38.5,Bachelors,4,337,0,No
7,46.8,Masters,7,405,232,No
9,60.7,Masters,9,681,254,Yes
15,95.0,High School,15,864,538,Yes
6,67.8,Masters,14,675,443,Yes
7,59.9,Bachelors,9,660,267,Yes
10,74.7,Masters,11,572,320,Yes
5,87.4,PhD,16,491,352,Yes
0,67.0,Bachelors,7,313,170,No
13,85.9,Bachelors,7,874,373,Yes
12,80.0,PhD,21,813,630,Yes
12,83.1,PhD,15,761,458,Yes
11,73.0,High School,9,468,346,Yes
8,67.6,PhD,14,656,298,Yes
5,61.3,High School,8,559,258,No
11,65.3,Bachelors,13,598,498,Yes
12,90.7,Masters,16,900,559,Yes
9,86.4,Masters,10,772,408,Yes
0,78.0,Masters,11,194,176,No
0,56.9,High School,7,304,4,No
15,90.9,Bachelors,12,830,476,Yes
7,66.5,PhD,9,671,192,Yes
5,62.3,High School,9,583,285,Yes
7,51.7,High School,4,710,147,No
7,49.7,Masters,10,615,297,Yes
14,85.3,Masters,20,869,675,Yes
10,69.9,Bachelors,9,589,436,Yes
13,92.7,Bachelors,13,704,614,Yes
7,60.8,Masters,5,246,178,No
9,100.0,PhD,14,502,519,Yes
14,73.8,High School,13,545,413,Yes
6,72.2,Masters,11,606,272,Yes
6,61.0,Bachelors,11,637,211,Yes
9,90.9,Masters,6,456,249,Yes
3,60.3,Bachelors,5,262,193,No
8,62.6,Masters,14,465,446,Yes
11,52.0,Bachelors,6,595,288,Yes
1,68.1,Bachelors,5,605,178,No
10,91.0,Masters,12,334,370,Yes
8,78.6,Bachelors,8,500,283,Yes
9,76.0,Masters,9,570,301,Yes
2,56.7,Bachelors,6,500,234,No
13,95.2,Bachelors,17,678,645,Yes
12,80.0,Bachelors,9,877,316,Yes
14,100.0,Bachelors,18,693,590,Yes
15,86.0,Bachelors,22,768,624,Yes
1,61.2,Masters,5,265,87,No
12,90.8,Masters,19,556,610,Yes
3,88.1,Masters,6,380,191,No
4,83.2,Bachelors,4,363,73,Yes
1,58.8,Bachelors,6,418,112,No
12,75.9,Bachelors,16,786,452,Yes
14,71.1,Masters,12,873,490,Yes
0,63.4,High School,5,387,113,No
9,48.7,Bachelors,14,765,436,Yes
10,98.6,High School,9,499,395,Yes
4,78.1,Bachelors,9,503,197,No
8,62.3,Bachelors,11,885,343,No
14,99.5,High School,13,659,508,Yes
11,87.7,Bachelors,16,550,436,Yes
11,86.5,Bachelors,13,651,383,Yes
14,85.2,Masters,9,595,372,Yes
4,77.5,Masters,5,362,89,Yes
11,62.0,Masters,10,722,385,Yes
10,78.4,Bachelors,12,566,411,Yes
9,65.3,Bachelors,10,671,349,Yes
8,72.9,Masters,10,699,326,Yes
13,73.2,Bachelors,20,870,615,Yes
12,71.9,Bachelors,13,620,370,Yes
11,100.0,PhD,8,764,357,Yes
9,61.5,PhD,9,575,281,Yes
5,77.4,Masters,10,547,207,Yes
2,52.0,PhD,15,416,255,Yes
3,87.1,Masters,9,500,248,Yes
3,73.7,Masters,12,542,217,No
0,36.4,Bachelors,8,267,82,No
2,74.0,PhD,8,319,208,Yes
2,54.8,Masters,3,605,84,No
12,84.9,Bachelors,12,746,484,Yes
13,63.6,Bachelors,12,761,428,Yes
0,71.5,High School,6,368,17,No
12,59.0,PhD,15,752,476,Yes
8,65.1,Masters,12,683,414,Yes
10,61.3,Bachelors,9,613,495,Yes
0,63.2,Bachelors,7,408,124,No
8,73.6,PhD,12,663,390,Yes
0,58.5,Masters,9,251,136,No
15,77.9,Bachelors,12,741,517,Yes
1,39.0,Bachelors,6,385,125,No
1,51.6,High School,5,558,114,No
13,59.5,High School,17,536,528,Yes
5,43.8,Masters,17,594,507,Yes
6,78.9,Bachelors,12,630,383,Yes
10,58.9,Bachelors,12,735,367,Yes
0,83.1,Masters,5,543,114,No
2,78.3,High School,6,535,146,No
1,80.3,PhD,3,607,88,No
7,54.5,Bachelors,11,325,434,Yes
8,100.0,High School,11,616,288,Yes
12,46.2,Bachelors,16,690,483,Yes
1,41.8,High School,2,470,41,No
1,72.0,Bachelors,7,442,183,No
9,86.8,Bachelors,12,512,273,Yes
14,78.4,Masters,15,887,550,Yes
8,61.7,Bachelors,10,834,246,No
13,80.3,Bachelors,13,742,400,Yes
3,69.7,PhD,8,503,183,Yes
4,58.5,Bachelors,6,364,147,No
12,100.0,Masters,12,850,481,Yes
10,67.2,Bachelors,12,669,355,Yes
8,95.5,Bachelors,9,596,217,Yes
5,73.6,Bachelors,3,651,122,No
9,90.8,Bachelors,18,713,591,Yes
11,64.6,PhD,14,588,431,Yes
8,84.4,High School,21,522,510,Yes
8,92.1,Masters,7,718,327,Yes
6,63.3,Masters,9,567,357,Yes
13,91.7,High School,10,633,394,Yes
11,61.1,Masters,17,604,502,Yes
9,68.4,Bachelors,8,597,284,Yes
8,94.8,Masters,7,476,190,Yes
4,66.5,Masters,10,503,207,Yes
15,83.5,Bachelors,14,900,632,Yes
4,86.6,Bachelors,11,494,233,No
11,50.2,Bachelors,8,736,427,Yes
7,68.8,Bachelors,11,577,289,Yes
9,70.0,High School,18,485,520,Yes
3,59.0,PhD,3,557,177,No
8,94.1,Bachelors,11,695,398,Yes
6,51.3,High School,3,372,109,No
6,51.5,High School,6,411,238,No
12,44.4,Bachelors,11,860,414,Yes
14,97.7,High School,13,900,449,Yes
2,56.6,Bachelors,8,489,168,No
3,54.1,High School,5,444,182,No
6,61.8,High School,2,511,115,No
10,99.1,Masters,11,560,402,Yes
10,100.0,PhD,12,600,464,Yes
13,57.5,Bachelors,12,651,440,Yes
4,62.3,Masters,7,461,189,Yes
11,58.0,High School,10,823,343,No
2,61.9,Masters,8,386,113,No
0,51.6,High School,5,399,48,No
6,47.5,Masters,13,582,393,Yes
5,76.8,Masters,8,344,168,No
9,72.5,Masters,15,900,349,Yes
14,100.0,Masters,15,675,460,Yes
6,73.7,Masters,13,855,307,Yes
14,59.8,Bachelors,9,606,381,Yes
13,96.5,Masters,18,685,595,Yes
1,39.4,Bachelors,1,219,0,No
12,58.5,High School,7,725,476,Yes
11,74.7,Bachelors,13,554,431,Yes
3,63.0,Masters,8,355,220,No
1,28.7,High School,4,354,100,No
7,73.0,Masters,12,423,396,Yes
6,71.9,Masters,13,362,307,Yes
0,55.6,Bachelors,8,366,215,No
1,34.2,Bachelors,6,309,158,No
1,69.2,PhD,9,576,204,No
3,76.5,Masters,6,391,138,No
2,41.3,Bachelors,4,349,70,No
0,41.4,Bachelors,3,525,40,No
11,91.3,Bachelors,15,783,520,Yes
13,100.0,High School,10,828,448,Yes
1,57.0,Bachelors,3,435,146,No
15,88.3,PhD,15,668,559,Yes
10,88.0,PhD,25,569,709,Yes
8,97.6,Masters,13,494,317,Yes
12,68.7,Bachelors,16,660,582,Yes
0,50.2,Bachelors,3,150,72,No
8,69.6,Masters,8,532,281,Yes
6,52.0,Masters,7,728,256,Yes
1,72.3,Bachelors,6,461,187,No
1,67.2,Masters,10,347,151,No
4,39.0,Masters,10,545,326,No
12,85.1,Masters,17,808,520,Yes
4,90.4,Bachelors,6,380,300,No
3,71.4,Masters,13,517,424,Yes
11,99.1,High School,16,472,415,Yes
9,70.8,Masters,15,614,469,Yes
9,90.0,Bachelors,13,768,339,Yes
12,100.0,Bachelors,12,833,510,Yes
11,73.9,High School,11,790,376,Yes
2,55.3,Bachelors,7,345,197,No
3,87.5,PhD,14,560,335,Yes
9,83.6,Bachelors,11,621,394,Yes
3,85.3,PhD,10,247,293,No
1,65.7,Bachelors,12,560,140,Yes
4,64.3,Bachelors,7,381,251,No
14,87.9,Masters,14,709,518,Yes
4,60.2,Bachelors,8,578,263,Yes
4,75.3,Masters,10,547,236,No
10,74.8,Bachelors,10,882,294,Yes
14,93.1,Masters,19,752,631,Yes
10,65.6,Bachelors,14,865,459,Yes
9,66.5,Masters,13,571,374,Yes
0,66.3,Bachelors,5,431,98,No
5,77.1,Masters,8,381,215,Yes
10,74.8,Masters,8,512,251,Yes
1,80.2,Bachelors,3,422,0,No
6,57.2,Bachelors,8,433,146,No
3,73.8,Masters,5,335,191,No
14,99.9,PhD,14,659,394,Yes
4,66.3,Bachelors,8,606,220,Yes
4,88.2,Masters,10,489,201,Yes
4,89.9,Bachelors,8,422,231,Yes
1,42.2,Bachelors,8,216,169,No
4,38.9,PhD,10,527,222,Yes
2,57.9,Masters,14,406,362,No
3,52.5,Masters,10,422,237,No
12,74.9,Bachelors,14,732,497,Yes
1,86.8,Bachelors,3,381,154,No
3,100.0,Masters,8,405,231,Yes
12,74.8,PhD,17,666,490,Yes
8,80.6,Masters,7,401,297,Yes
7,74.5,Bachelors,14,358,428,Yes
12,86.7,Bachelors,7,667,339,Yes
13,62.9,Bachelors,17,682,581,Yes
14,100.0,Masters,15,660,473,Yes
10,91.0,Bachelors,10,560,325,Yes
11,72.3,Bachelors,6,597,331,Yes
2,83.7,Masters,6,268,175,Yes
0,39.6,Masters,8,417,151,No
0,35.9,Masters,4,328,10,No
5,79.0,PhD,16,482,355,Yes
2,68.0,Bachelors,8,466,210,No
3,64.8,Masters,10,154,222,No
0,77.9,Masters,2,509,113,No
7,69.1,PhD,14,515,380,Yes
0,75.6,Bachelors,4,348,0,No
4,77.3,Bachelors,7,244,130,No
5,99.2,Masters,2,441,26,Yes
14,66.4,PhD,18,860,520,Yes
1,56.0,Masters,9,368,206,No
6,59.7,Masters,7,507,265,Yes
15,99.2,Bachelors,17,669,597,Yes
6,96.8,Masters,7,545,318,Yes
15,85.7,Masters,9,787,457,Yes
0,70.2,Masters,4,423,55,No
3,88.9,Masters,6,515,171,No
11,79.9,High School,9,801,342,Yes
12,95.8,Masters,11,699,413,Yes
15,57.8,Bachelors,16,900,567,Yes
3,94.5,PhD,6,398,143,Yes
4,64.8,Masters,7,444,144,Yes
0,100.0,Masters,7,417,188,Yes
0,52.2,PhD,7,510,125,Yes
6,72.1,High School,11,511,218,Yes
8,85.9,Bachelors,5,626,209,Yes
0,23.7,Masters,7,296,155,No
15,100.0,Bachelors,22,770,652,Yes
1,70.6,Bachelors,5,541,103,No
5,48.8,Masters,6,477,126,No
14,94.8,Masters,22,868,674,Yes
14,91.0,Bachelors,9,540,373,Yes
5,65.5,Bachelors,6,526,208,No
1,46.1,High School,2,208,0,No
8,76.2,Masters,10,636,348,Yes
3,76.4,Bachelors,10,287,203,No
12,97.6,Masters,10,699,459,Yes
6,73.4,Masters,7,486,174,Yes
5,66.4,High School,5,689,180,Yes
10,75.6,Bachelors,6,705,329,Yes
12,70.7,Masters,15,686,596,Yes
10,76.6,Bachelors,11,724,433,Yes
2,50.5,Bachelors,11,431,212,No
7,64.1,PhD,7,778,263,Yes
6,33.2,Bachelors,3,340,87,No
8,67.4,Bachelors,11,585,390,Yes
15,100.0,Masters,14,891,529,Yes
